#      xpix        ypix        flux     vel_pix    disp_pix
     4.4872     -5.9999      0.2023    -36.5737    111.1625
     4.9872     -5.9999      0.1922    -43.6914    124.4259
     5.4872     -5.9999      0.1712    -52.2670    139.0784
     5.9872     -5.9999      0.1589    -61.0727    143.9209
     6.4872     -5.9999      0.1496    -61.6351    128.6475
     6.9872     -6.0000      0.1415    -61.2768    118.2470
     7.4872     -6.0000      0.1352    -61.2768    118.2470
    -8.0125     -5.5000      0.1592    168.0123    102.0783
    -7.5126     -5.5000      0.1616    162.5540    107.1461
    -7.0126     -5.5000      0.1683    154.9604    113.6620
    -6.5126     -5.4999      0.1757    142.3252    114.7294
    -6.0126     -5.4999      0.1893    129.5846    113.0809
    -5.5126     -5.4999      0.2000    124.5925    109.4026
    -5.0126     -5.4999      0.2120    119.8927    112.7423
    -4.5126     -5.4999      0.2278    113.1250    115.8861
    -4.0126     -5.4999      0.2435    105.8453    118.5346
    -3.5126     -5.4999      0.2649    100.4295    120.7408
    -3.0126     -5.4999      0.2798     92.6519    124.6267
    -2.5126     -5.4999      0.2953     85.8947    130.2360
    -2.0127     -5.4999      0.3099     76.1114    134.7303
    -1.5127     -5.4999      0.3254     63.3227    137.5285
    -1.0127     -5.4999      0.3428     50.5364    130.8946
    -0.5127     -5.4999      0.3448     36.6122    129.7376
    -0.0127     -5.4999      0.3455     24.7511    127.6717
     0.4873     -5.4999      0.3394     14.9012    129.8758
     0.9873     -5.4999      0.3374     11.6603    127.6202
     1.4873     -5.4999      0.3349     10.6050    128.4486
     1.9873     -5.4999      0.3250      4.6773    129.4283
     2.4873     -5.4999      0.3048     -8.8466    130.3180
     2.9872     -5.4999      0.2823    -20.5982    126.2373
     3.4872     -5.4999      0.2662    -32.2785    117.0051
     3.9872     -5.4999      0.2534    -38.3446    113.6546
     4.4872     -5.4999      0.2361    -43.5140    115.0917
     4.9872     -5.4999      0.2147    -50.3222    132.1045
     5.4872     -5.4999      0.1958    -56.7231    145.4152
     5.9872     -5.4999      0.1742    -61.2468    150.9296
     6.4872     -5.4999      0.1640    -62.2012    130.8510
     6.9872     -5.5000      0.1513    -60.7716    121.2520
     7.4872     -5.5000      0.1409    -73.9394    133.3528
     7.9872     -5.5000      0.1348    -90.2103    155.7788
    -7.5126     -5.0000      0.1734    169.9797    101.0571
    -7.0126     -5.0000      0.1825    162.2708    106.1561
    -6.5126     -4.9999      0.1907    154.2158    111.3984
    -6.0126     -4.9999      0.2011    141.9996    113.4179
    -5.5126     -4.9999      0.2206    134.5766    114.4750
    -5.0126     -4.9999      0.2369    126.8201    115.3444
    -4.5126     -4.9999      0.2601    117.4214    117.4465
    -4.0126     -4.9999      0.2773    109.4465    122.8323
    -3.5126     -4.9999      0.2951    102.8289    125.3205
    -3.0126     -4.9999      0.3272     95.5671    134.8851
    -2.5127     -4.9999      0.3529     87.1736    138.9972
    -2.0127     -4.9999      0.3811     77.6925    144.5661
    -1.5127     -4.9999      0.3927     63.8511    147.1253
    -1.0127     -4.9999      0.3944     49.4729    144.7443
    -0.5127     -4.9999      0.4184     38.1499    140.4559
    -0.0127     -4.9999      0.4297     23.6828    139.6489
     0.4873     -4.9999      0.4319     11.6741    134.0835
     0.9873     -4.9999      0.4152      6.6777    129.0495
     1.4873     -4.9999      0.3907      5.3938    125.5322
     1.9873     -4.9999      0.3782      0.7463    121.6164
     2.4873     -4.9999      0.3654    -11.7643    126.5879
     2.9873     -4.9999      0.3529    -23.8331    127.8565
     3.4872     -4.9999      0.3165    -36.0280    124.9698
     3.9872     -4.9999      0.2900    -44.1960    119.0016
     4.4872     -4.9999      0.2637    -49.0771    119.5148
     4.9872     -4.9999      0.2456    -58.7242    128.8535
     5.4872     -4.9999      0.2256    -67.0227    135.8313
     5.9872     -4.9999      0.1988    -70.4087    137.8139
     6.4872     -4.9999      0.1817    -69.6660    122.4619
     6.9872     -5.0000      0.1613    -65.0253    124.0748
     7.4872     -5.0000      0.1506    -75.0894    125.8891
     7.9872     -5.0000      0.1422    -91.1523    138.8047
    -8.0126     -4.5000      0.1698    170.6961    100.3621
    -7.5126     -4.5000      0.1812    167.2413    102.8863
    -7.0126     -4.5000      0.1928    160.1015    107.4036
    -6.5126     -4.4999      0.2020    153.8158    108.8340
    -6.0126     -4.4999      0.2190    148.9760    116.0697
    -5.5126     -4.4999      0.2382    141.1415    115.0560
    -5.0126     -4.4999      0.2625    130.3750    113.4869
    -4.5126     -4.4999      0.2846    118.9636    118.3607
    -4.0126     -4.4999      0.3059    108.0947    123.3261
    -3.5126     -4.4999      0.3406    102.9531    130.3667
    -3.0127     -4.4999      0.3830     95.0363    142.0986
    -2.5127     -4.4999      0.4190     87.2288    139.7634
    -2.0127     -4.4999      0.4473     76.9934    147.0321
    -1.5127     -4.4999      0.4613     66.4900    150.3904
    -1.0127     -4.4999      0.4947     54.1692    151.2279
    -0.5127     -4.4999      0.5159     37.4736    149.4093
    -0.0127     -4.4999      0.5185     23.1760    149.2437
     0.4873     -4.4999      0.5211     10.9147    143.5836
     0.9873     -4.4999      0.5048      3.4028    135.4080
     1.4873     -4.4999      0.4864     -0.1298    124.2220
     1.9873     -4.4999      0.4549     -6.9042    126.7810
     2.4873     -4.4999      0.4326    -16.5711    125.3284
     2.9873     -4.4999      0.4064    -27.7847    129.4657
     3.4873     -4.4999      0.3749    -39.4719    129.4366
     3.9872     -4.4999      0.3419    -49.6417    125.5320
     4.4872     -4.4999      0.3003    -58.8520    123.7099
     4.9872     -4.4999      0.2824    -66.4392    122.6665
     5.4872     -4.4999      0.2504    -74.2314    123.7528
     5.9872     -4.4999      0.2269    -79.8990    118.8375
     6.4872     -4.4999      0.2049    -79.8552    112.6061
     6.9872     -4.5000      0.1815    -76.1149    110.8507
     7.4872     -4.5000      0.1643    -83.5027    113.2365
     7.9872     -4.5000      0.1505    -93.6037    113.6084
     8.4872     -4.5000      0.1456   -110.8669    103.6586
     8.9872     -4.5000      0.1424   -110.8669    103.6586
    -8.5126     -4.0000      0.1681    169.8599     99.3226
    -8.0126     -4.0000      0.1788    167.1239    103.3147
    -7.5126     -4.0000      0.1919    157.6123    105.8433
    -7.0126     -4.0000      0.2082    153.0257    106.2733
    -6.5126     -3.9999      0.2222    154.6260    111.3193
    -6.0126     -3.9999      0.2444    151.2836    115.2089
    -5.5126     -3.9999      0.2657    142.5615    115.2760
    -5.0126     -3.9999      0.2866    128.3084    115.0510
    -4.5126     -3.9999      0.3225    116.7876    118.3417
    -4.0126     -3.9999      0.3593    107.7080    131.4290
    -3.5126     -3.9999      0.4117     98.8483    141.2337
    -3.0127     -3.9999      0.4518     93.1830    147.1916
    -2.5127     -3.9999      0.4907     85.5317    147.3544
    -2.0127     -3.9999      0.5385     78.2664    149.0120
    -1.5127     -3.9999      0.5935     68.0130    155.2517
    -1.0127     -3.9999      0.6448     55.7421    159.7942
    -0.5127     -3.9999      0.6598     41.9581    162.3351
    -0.0127     -3.9999      0.6475     24.7481    157.5975
     0.4873     -3.9999      0.6117      9.7723    153.2111
     0.9873     -3.9999      0.6146      0.3178    144.8332
     1.4873     -3.9999      0.6017     -6.6515    138.5223
     1.9873     -3.9999      0.5724    -13.3620    137.1152
     2.4873     -3.9999      0.5230    -22.5689    135.7795
     2.9873     -3.9999      0.4849    -32.4472    137.2025
     3.4873     -3.9999      0.4345    -44.6695    136.3667
     3.9873     -3.9999      0.4011    -55.8919    134.5041
     4.4872     -3.9999      0.3594    -65.8408    125.0146
     4.9872     -3.9999      0.3180    -74.6167    118.1420
     5.4872     -3.9999      0.2904    -81.8373    112.1561
     5.9872     -3.9999      0.2530    -88.0102    107.8981
     6.4872     -3.9999      0.2271    -91.2822    106.3014
     6.9872     -4.0000      0.2008    -91.6183    106.1517
     7.4872     -4.0000      0.1787    -94.3847    105.6292
     7.9872     -4.0000      0.1641    -99.9401    100.4048
     8.4872     -4.0000      0.1508   -110.8669    103.6586
    -9.5126     -3.5000      0.1653    168.7542     99.8745
    -9.0126     -3.5000      0.1699    164.5829    105.8393
    -8.5126     -3.5000      0.1778    164.2228    106.2364
    -8.0126     -3.5000      0.1899    159.7200    107.3391
    -7.5126     -3.5000      0.2047    150.8310    106.9505
    -7.0126     -3.5000      0.2275    150.8892    109.6110
    -6.5126     -3.4999      0.2428    155.1103    110.9251
    -6.0126     -3.4999      0.2647    151.7403    115.3060
    -5.5126     -3.4999      0.2969    145.5384    120.3028
    -5.0126     -3.4999      0.3215    129.2590    121.4962
